###############################################################
#  Generated by:      Cadence Innovus 21.19-s058_1
#  OS:                Linux x86_64(Host ID il2225ht25_jcdavid)
#  Generated on:      Wed Dec 17 12:59:44 2025
#  Design:            drra_wrapper
#  Command:           report_timing     > ${RPT_DIR}/${TOP_NAME}_timing_${con}.txt
###############################################################
Path 1: VIOLATED (-275.289 ps) Setup Check with Pin Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/CLK->D
               View: AVF_RCWORST
              Group: clk
         Startpoint: (R) Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/CLK
              Clock: (R) clk
           Endpoint: (R) Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/D
              Clock: (R) clk

                         Capture        Launch
         Clock Edge:+  16000.000         0.000
        Src Latency:+   -462.055      -462.055
        Net Latency:+    444.400 (P)   566.300 (P)
            Arrival:=  15982.346       104.245

              Setup:-     21.000
        Uncertainty:-    160.000
      Required Time:=  15801.345
       Launch Clock:=    104.245
          Data Path:+  15972.389
              Slack:=   -275.289

#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Timing Point                                                                                                Flags  Arc     Edge  Cell                     Fanout    Trans     Delay     Arrival  
#                                                                                                                                                                      (ps)      (ps)        (ps)  
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U20/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   18.000    54.000    2959.946  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U6/Z                                                       C1C2  B->Z    R     SC8T_AN2X1_CSC28L             1   19.400    50.000    3009.946  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U103/Z                                                     C1C2  B->Z    F     SC8T_XNR2X1_MR_CSC28L         1   14.700    68.800    3078.746  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U102/Z                                                     C1C2  A->Z    R     SC8T_NR2X1_CSC28L             1   17.600    25.700    3104.446  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U979/Z                                                     C1C2  C1->Z   F     SC8T_AOI222X1_CSC28L          1   43.700    60.300    3164.746  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U5/Z                                                       C1C2  A->Z    F     SC8T_AN2X1_CSC28L             3   76.700   105.800    3270.546  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U452/Z                                                     C1C2  A->Z    R     SC8T_NR2X1_CSC28L            16   84.000   187.100    3457.646  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U99/Z                                                      C1C2  A->Z    F     SC8T_INVX1_CSC28L            15  207.100   203.200    3660.846  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U455/Z                                                     C1C2  B2->Z   R     SC8T_AOI22X1_CSC28L           1  134.500   177.700    3838.546  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U454/Z                                                     C1C2  A->Z    F     SC8T_INVX3_CSC28L            44  137.000   264.500    4103.046  
  Silago_top_inst_6_0/SILEGO_cell/swb/FE_OFC8215_h_bus_dpu_seg_0_10__4__0/Z                                    C1C2  A->Z    F     SC8T_BUFX2_CSC28L             5  322.200   156.700    4259.746  
  Silago_top_inst_6_0/SILEGO_cell/swb/Mux_Generate1_2/U2/Z                                                     C1C2  C1->Z   R     SC8T_AOI222X1_CSC28L          1   61.400    72.500    4332.246  
  Silago_top_inst_6_0/SILEGO_cell/swb/Mux_Generate1_2/U107/Z                                                   C1C2  B->Z    R     SC8T_AN4X1_CSC28L             1   97.600   132.600    4464.846  
  Silago_top_inst_6_0/SILEGO_cell/swb/Mux_Generate1_2/U69/Z                                                    C1C2  B1->Z   F     SC8T_OAI22X1_CSC28L           1   33.500    86.700    4551.546  
  Silago_bot_inst_6_1/SILEGO_cell/U131/Z                                                                       C1C2  B1->Z   R     SC8T_AOI22X1_CSC28L           3   93.000   154.400    4705.947  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/add_103/U1_1_1/CO                               C1C2  B->CO   R     SC8T_HAX1_CSC28L              1  160.800    99.000    4804.947  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/add_103/U1_1_2/CO                               C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.700    50.300    4855.247  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/add_103/U1_1_3/CO                               C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.200    51.400    4906.646  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/add_103/U1_1_4/CO                               C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   21.400    51.300    4957.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/add_103/U1_1_5/CO                               C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   19.600    52.400    5010.346  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/add_103/U1_1_6/CO                               C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   21.400    51.900    5062.246  
